fid,OBJECTID,SOURCE,CONFIANCE,SUPERFICIE,CLASSE,TYPE,PHYSIONOMI,SYS_TROPHI,PARTICULAR,Enregistre,Latitude,Longitude,Type_2,Milieu,surface
497,179774,MH_DETAIL,Excellent,0.000596381804538,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,596.38144120574
498,25576,OCCUP_SOL_BTSL,Excellent,0.057210934610578,Marécage,Marécage,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,1739.72488394906
498,25576,OCCUP_SOL_BTSL,Excellent,0.057210934610578,Marécage,Marécage,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,3705.90944806664
526,180248,MH_DETAIL,Excellent,0.000301657982829,Marécage,Marécage,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,160.673178501893
527,180249,MH_DETAIL,Excellent,0.000093525656362,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,93.5256617614068
56,4691,OCCUP_SOL_BTSL,Excellent,0.144920214062018,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,84342.2895385259
58,1813,OCCUP_SOL_BTSL,Excellent,0.004004652798199,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,4004.65278937202
62,25435,OCCUP_SOL_BTSL,Excellent,0.022599478860133,Marécage,Marécage,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,22493.9923746125
63,25442,OCCUP_SOL_BTSL,Excellent,0.007186400518226,Marécage,Marécage,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1585.53342612283
63,25442,OCCUP_SOL_BTSL,Excellent,0.007186400518226,Marécage,Marécage,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,7186.40049075827
99,4714,OCCUP_SOL_BTSL,Excellent,0.189261936577276,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1222.12010142079
499,12334,OCCUP_SOL_BTSL,Excellent,0.036993553378626,Marais,Marais,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,25024.069628529
501,18607,OCCUP_SOL_BTSL,Excellent,0.001597573001762,Marais,Marais,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1597.57299331629
502,12409,OCCUP_SOL_BTSL,Excellent,0.179366816438967,Marais,Marais,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,8706.53382461972
532,1746445,IEQM,Bon,0.048161809108291,Tourbière boisée minérotrophe,Tourbière,boisée,minérotrophe,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1147.63457147591
534,1746935,IEQM,Bon,0.021323180034889,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,16133.6841204809
534,1746935,IEQM,Bon,0.021323180034889,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,799.333359880373
64,25390,OCCUP_SOL_BTSL,Excellent,0.000684037048359,Marécage,Marécage,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,684.037044655532
500,25362,OCCUP_SOL_BTSL,Excellent,0.001443404640933,Marécage,Marécage,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,1443.40463057475
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,Francine-3,45.083750000000002,-73.105000000000004,lisiere,mixte,115707.295020319
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,J-foret,45.085630000000002,-73.085369999999998,foret,mixte,50912.5886226991
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,P-lisiere,45.086219999999997,-73.103420000000000,lisiere,mixte,201724.45276036
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,Q-lisiere,45.082180000000001,-73.108559999999997,lisiere,mixte,91066.8810626257
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,W-lisiere,45.088810000000002,-73.097790000000003,lisiere,foret,172932.856953371
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,Y-lisiere,45.089779999999998,-73.091390000000004,lisiere,foret,125922.599027217
281,25400,OCCUP_SOL_BTSL,Excellent,0.924071303818513,Marécage,Marécage,,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,105925.152561612
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,Francine-3,45.083750000000002,-73.105000000000004,lisiere,mixte,116178.208106542
284,1810,OCCUP_SOL_BTSL,Excellent,1.825252166563056,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,J-foret,45.085630000000002,-73.085369999999998,foret,mixte,9631.95611000767
