Site,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
C-foret,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
C-lisiere,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
E-foret,109,115,122,129,136,143,150,157,164,171,178,185,192,199,206,213
E-lisiere,109,115,122,129,136,143,150,157,164,171,178,185,192,199,206,213
F-foret,109,115,122,129,136,143,150,157,164,171,178,185,192,199,206,213
F-lisiere,109,115,122,129,136,143,150,157,164,171,178,185,192,199,206,213
Francine-3,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
G-foret,NA,116,122,129,136,143,150,157,164,171,178,185,192,199,206,213
G-lisiere,109,115,122,129,136,143,150,157,164,171,178,185,192,199,206,213
H-lisiere,109,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
J-foret,112,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
J-lisiere,112,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
K-foret,112,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
K-lisiere,112,115,122,129,136,143,150,156,164,171,178,185,NA,199,206,NA
L-foret_O-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
L-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
M-foret,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
M-lisiere,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
N-foret,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
N-lisiere,108,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
P-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
Q-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
W-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
X-foret_X-lisiere,112,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
Y-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
Z-lisiere,111,115,122,129,136,143,150,157,164,171,178,185,192,199,206,NA
