"code","utilisation"
2660,"Peupliers associés à des pins / Tourbière"
2661,"Peupliers associés à des résineux tolérants / Tourbière"
2662,"Peupliers associés à des résineux / Tourbière"
2663,"Peupliers associés à des sapin baumier et/ou épinette blanche / Tourbière"
2664,"Pin gris / Tourbière"
2665,"Pin gris associé à des feuillus intolérants / Tourbière"
2666,"Pin gris associé à des feuillus tolérants / Tourbière"
2667,"Pin gris associé à des feuillus indéterminés / Tourbière"
2668,"Pins / Tourbière"
2669,"Pins associés à des feuillus intolérants / Tourbière"
2670,"Pins associés à des feuillus tolérants / Tourbière"
2671,"Pins associés à des feuillus indéterminés / Tourbière"
2672,"Pin rouge / Tourbière"
2673,"Pin rouge associé à du bouleau jaune / Tourbière"
2674,"Pin rouge associé à des chênes / Tourbière"
2675,"Pin rouge associé à des érables / Tourbière"
2676,"Pin rouge associé à des feuillus intolérants / Tourbière"
2677,"Pin rouge associé à des feuillus tolérants / Tourbière"
2678,"Pin rouge associé à des feuillus indéterminés / Tourbière"
2679,"Pin rouge associé à du hêtre à grandes feuilles / Tourbière"
2680,"Pin rouge associé à du noyer cendré / Tourbière"
2681,"Pin rouge associé à des ormes / Tourbière"
2682,"Pin rouge associé à de l'ostryer de Virginie / Tourbière"
2683,"Pin rouge associé à du tilleul d'Amérique / Tourbière"
2684,"Épinette noire et sapin baumier associés à des feuillus intolérants / Tourbière"
2685,"Épinette noire et sapin baumier associés à des feuillus tolérants / Tourbière"
2686,"Épinette noire et sapin baumier associés à des feuillus indéterminés / Tourbière"
2687,"Pruche du Canada / Tourbière"
2688,"Pruche du Canada associée à du bouleau jaune / Tourbière"
2689,"Pruche du Canada associée à des érables / Tourbière"
2690,"Pruche du Canada associée à des feuillus intolérants / Tourbière"
2691,"Pruche du Canada associée à des feuillus tolérants / Tourbière"
2692,"Pruche du Canada associée à des feuillus indéterminés / Tourbière"
2693,"Résineux / Tourbière"
2694,"Résineux associés à du bouleau jaune / Tourbière"
2695,"Résineux associés à des érables / Tourbière"
2696,"Résineux associés à des feuillus intolérants / Tourbière"
2697,"Résineux associés à des feuillus tolérants / Tourbière"
2698,"Résineux associés à des feuillus indéterminés / Tourbière"
2699,"Sapin baumier / Tourbière"
2700,"Sapin baumier associé à du bouleau jaune / Tourbière"
2701,"Sapin baumier associé à des épinettes noire ou rouge / Tourbière"
2702,"Sapin baumier associé à des érables / Tourbière"
2703,"Sapin baumier associé à des feuillus intolérants / Tourbière"
2704,"Sapin baumier associé à des feuillus tolérants / Tourbière"
2705,"Sapin baumier associé à des feuillus indéterminés / Tourbière"
2706,"Sapin baumier associé à du thuyas occidental / Tourbière"
2707,"Sapin baumier et/ou épinette blanche / Tourbière"
2708,"Sapin baumier et/ou épinette blanche associés à du bouleau jaune / Tourbière"
2709,"Sapin baumier et/ou épinette blanche associés à de l'épinette noire / Tourbière"
2710,"Sapin baumier et/ou épinette blanche associés à des épinettes noire ou rouge / Tourbière"
2711,"Sapin baumier et/ou épinette blanche associés à des érables / Tourbière"
2712,"Sapin baumier et/ou épinette blanche associés à des feuillus intolérants / Tourbière"
2713,"Sapin baumier et/ou épinette blanche associés à des feuillus tolérants / Tourbière"
2714,"Sapin baumier et/ou épinette blanche associés à des feuillus indéterminés / Tourbière"
2715,"Sapin baumier et épinette noire associés à du bouleau jaune / Tourbière"
2716,"Sapin baumier et épinette noire associés à des érables / Tourbière"
2717,"Sapin baumier et épinette noire associés à des feuillus intolérants / Tourbière"
2718,"Sapin baumier et épinette noire associés à des feuillus tolérants / Tourbière"
2719,"Sapin baumier et épinette noire associés à des feuillus indéterminés / Tourbière"
2720,"Tilleul d'Amérique / Tourbière"
2721,"Tilleul d'Amérique associé à des pins / Tourbière"
2722,"Tilleul d'Amérique associé à des résineux tolérants / Tourbière"
2723,"Tilleul d'Amérique associé à des résineux / Tourbière"
2724,"Thuyas occidental / Tourbière"
2725,"Thuyas occidental associé à du bouleau jaune / Tourbière"
2726,"Thuyas occidental associé à des érables / Tourbière"
2727,"Thuyas occidental associé à des feuillus intolérants / Tourbière"
2728,"Thuyas occidental associé à des feuillus tolérants / Tourbière"
2729,"Thuyas occidental associé à des feuillus indéterminés / Tourbière"
2730,"Peuplement issu d'une plantation de feuillus indigènes / Tourbière"
2731,"Peuplement issu d'une plantation mélangée indigène / Tourbière"
2732,"Peuplement issu d'une plantation de résineux indigènes / Tourbière"
2733,"Peuplement issu d'une plantation de feuillus exotiques / Tourbière"
2734,"Peuplement issu d'une plantation mélangée exotique / Tourbière"
2735,"Peuplement issu d'une plantation de résineux exotiques / Tourbière"
3000,"Tourbière à palse"
3020,"Eau / Tourbière à palse"
3021,"Lac / Tourbière à palse"
3022,"Mare et/ou eau peu profonde / Tourbière à palse"
3023,"Réservoir / Tourbière à palse"
3024,"Cours d'eau / Tourbière à palse"
3025,"Eau salée / Tourbière à palse"
3026,"Eau saumâtre / Tourbière à palse"
3027,"Lac de thermokartz / Tourbière à palse"
3029,"Neige et glace permanentes; combe à neige / Tourbière à palse"
3030,"Sol nu; roc-sol à nu; sol dénudé ou semi-dénudé sec / Tourbière à palse"
3031,"Champs de bloc / Tourbière à palse"
3050,"Forêt ou arbustaie improductive / Tourbière à palse"
3051,"Aulnaie / Tourbière à palse"
3052,"Arbustaie basse et mares de thermokarst / Tourbière à palse"
3053,"Arbustaie arctique basse (0.3 à 1 m) / Tourbière à palse"
3054,"Forêt arbustive haute (> 2 m) / Tourbière à palse"
3055,"Friche / Tourbière à palse"
3056,"Arbustaie arctique haute (> 1 m) / Tourbière à palse"
3057,"Forêt arbustive haute (> 2 m) \Tourbière à palse"
3060,"Lande à lichens / Tourbière à palse"
3061,"Lande à lichens et arbustes / Tourbière à palse"
3062,"Lande subarctique / Tourbière à palse"
3063,"Lande subarctique avec 30 à 70 % d’arbustes / Tourbière à palse"
3064,"Lande rocheuse / Tourbière à palse"
3065,"Lande à éricacées / Tourbière à palse"
3066,"Lande herbacée / Tourbière à palse"
3067,"Lande à mousse / Tourbière à palse"
3068,"Lande alpine / Tourbière à palse"
3071,"Toundra à arbustes dressés / Tourbière à palse"
3072,"Toundra à arbustes dressés avec ostioles / Tourbière à palse"
3073,"Toundra à arbustes dressés avec 30 à 70 % d’arbustes / Tourbière à palse"
3074,"Toundra à arbustes dressés avec ostioles et 30 à 70 % d’arbustes / Tourbière à palse"
3075,"Toundra à arbustes prostrés / Tourbière à palse"
3076,"Toundra à arbustes prostrés avec ostioles / Tourbière à palse"
3077,"Toundra herbacée avec arbustes prostrés / Tourbière à palse"
3101,"Serre / Tourbière à palse"
3120,"Agriculture indifférenciée / Tourbière à palse"
3122,"Culture pérenne et pâturage / Tourbière à palse"
3131,"Jachère / Tourbière à palse"
3132,"Autre céréale / Tourbière à palse"
3133,"Orge / Tourbière à palse"
3134,"Sorgho / Tourbière à palse"
3135,"Millet / Tourbière à palse"
3136,"Avoine / Tourbière à palse"
3137,"Seigle / Tourbière à palse"
3138,"Épeautre / Tourbière à palse"
3139,"Triticale / Tourbière à palse"
3140,"Blé / Tourbière à palse"
3141,"Panic érigé / Tourbière à palse"
3147,"Maïs / Tourbière à palse"
3153,"Canola ou colza / Tourbière à palse"
3154,"Graine de lin / Tourbière à palse"
3157,"Tournesol / Tourbière à palse"
3158,"Soya / Tourbière à palse"
3160,"Autre légumineuse / Tourbière à palse"
3162,"Pois / Tourbière à palse"
3167,"Haricot / Tourbière à palse"
3168,"Laitue / Tourbière à palse"
3169,"Ail/Oignon/Poireau / Tourbière à palse"
3170,"Carotte/Panais / Tourbière à palse"
3171,"Cucurbitacée / Tourbière à palse"
3172,"Crucifère (feuilles) / Tourbière à palse"
3173,"Légume à fruits / Tourbière à palse"
3175,"Autre légume / Tourbière à palse"
3176,"Crucifère (racines) / Tourbière à palse"
3177,"Pomme de terre / Tourbière à palse"
3178,"Betterave à sucre / Tourbière à palse"
3180,"Autre fruit / Tourbière à palse"
3181,"Baie / Tourbière à palse"
3182,"Canneberge / Tourbière à palse"
3183,"Bleuet / Tourbière à palse"
3188,"Verger / Tourbière à palse"
3190,"Vignoble / Tourbière à palse"
3192,"Gazonnière / Tourbière à palse"
3193,"Fines herbes / Tourbière à palse"
3194,"Pépinière / Tourbière à palse"
3195,"Sarrasin / Tourbière à palse"
3197,"Chanvre / Tourbière à palse"
3210,"Forêt de conifères / Tourbière à palse"
3211,"Forêt de conifères dense / Tourbière à palse"
3212,"Forêt de conifères avec arbustes décidus / Tourbière à palse"
3213,"Forêt de conifères clairsemée / Tourbière à palse"
3214,"Forêt de conifères sur lichens / Tourbière à palse"
3215,"Forêt de conifères ouverte / Tourbière à palse"
3216,"Forêt de conifères sur lichens et mousses / Tourbière à palse"
3218,"Forêt de conifères sur mousses et éricacées / Tourbière à palse"
3220,"Forêt de feuillus / Tourbière à palse"
3221,"Forêt de feuillus dense / Tourbière à palse"
3223,"Forêt de feuillus clairsemée / Tourbière à palse"
3225,"Forêt de feuillus ouverte / Tourbière à palse"
3230,"Forêt mixte / Tourbière à palse"
3231,"Forêt mixte dense / Tourbière à palse"
3233,"Forêt mixte clairsemée / Tourbière à palse"
3235,"Forêt mixte ouverte / Tourbière à palse"
3250,"Opération forestière / Tourbière à palse"
3253,"Coupe forestière / Tourbière à palse"
3255,"Plantation / Tourbière à palse"
3256,"Plantation de feuillus indigènes / Tourbière à palse"
3257,"Plantation mélangée indigène / Tourbière à palse"
3258,"Plantation de résineux indigènes / Tourbière à palse"
3259,"Plantation de feuillus exotiques / Tourbière à palse"
3260,"Plantation mélangée exotique / Tourbière à palse"
3261,"Plantation de résineux exotiques / Tourbière à palse"
3263,"Brûlis / Tourbière à palse"
3280,"Perturbation naturelle / Tourbière à palse"
3300,"Autre terrain / Tourbière à palse"
3301,"Zone développée / Tourbière à palse"
3312,"Pistes de ski alpin / Tourbière à palse"
3313,"Golf / Tourbière à palse"
3320,"Route ou chemin / Tourbière à palse"
3321,"Aéroport / Tourbière à palse"
3322,"Chemin de fer / Tourbière à palse"
3341,"Carrière ou gravière / Tourbière à palse"
3343,"Mine et déchet de mine / Tourbière à palse"
3344,"Bassin de filtration; de décontamination; de déchets liquides; etc. / Tourbière à palse"
3345,"Dépotoir / Tourbière à palse"
3346,"Zone industrielle et commerce / Tourbière à palse"
3351,"Ligne de transmission ou de transport d'énergie / Tourbière à palse"
3360,"Exploitation de tourbe / Tourbière à palse"
3501,"Bouleau gris / Tourbière à palse"
3502,"Bouleau gris associé à des pins / Tourbière à palse"
3503,"Bouleau gris associé à des résineux tolérants / Tourbière à palse"
3504,"Bouleau gris associé à des résineux / Tourbière à palse"
3505,"Bouleau jaune / Tourbière à palse"
3506,"Bouleau jaune associé à des épinettes noire ou rouge / Tourbière à palse"
3507,"Bouleau jaune associé à du mélèze laricin / Tourbière à palse"
3508,"Bouleau jaune associé à des pins / Tourbière à palse"
3509,"Bouleau jaune associé à de la pruche du Canada / Tourbière à palse"
3510,"Bouleau jaune associé à des résineux / Tourbière à palse"
3511,"Bouleau jaune associé à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3512,"Bouleau jaune associé à des sapin baumier et épinette noire / Tourbière à palse"
3513,"Bouleau jaune associé à du thuyas occidental / Tourbière à palse"
3514,"Bouleau blanc / Tourbière à palse"
3515,"Bouleau blanc associé à des épinettes noire ou rouge / Tourbière à palse"
3516,"Bouleau blanc associé à des pins / Tourbière à palse"
3517,"Bouleau blanc associé à des résineux tolérants / Tourbière à palse"
3518,"Bouleau blanc associé à des résineux / Tourbière à palse"
3519,"Bouleau blanc associé à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3520,"Caryer cordiforme / Tourbière à palse"
3521,"Chênes / Tourbière à palse"
3522,"Chênes associés à des pins / Tourbière à palse"
3523,"Chênes associés à des résineux tolérants / Tourbière à palse"
3524,"Chênes associés à des résineux / Tourbière à palse"
3525,"Cerisier tardif / Tourbière à palse"
3526,"Cerisier tardif associé à des pins / Tourbière à palse"
3527,"Cerisier tardif associé à des résineux tolérants / Tourbière à palse"
3528,"Cerisier tardif associé à des résineux / Tourbière à palse"
3529,"Érable argenté / Tourbière à palse"
3530,"Érable argenté associé à des pins / Tourbière à palse"
3531,"Érable argenté associé à des résineux tolérants / Tourbière à palse"
3532,"Érable argenté associé à des résineux / Tourbière à palse"
3533,"Épinette blanche / Tourbière à palse"
3534,"Épinette blanche associée à des feuillus intolérants / Tourbière à palse"
3535,"Épinette blanche associée à des feuillus tolérants / Tourbière à palse"
3536,"Épinette blanche associée à des feuillus indéterminés / Tourbière à palse"
3537,"Érable noir / Tourbière à palse"
3538,"Épinette noire / Tourbière à palse"
3539,"Épinette noire associée à de l'épinette blanche / Tourbière à palse"
3540,"Épinette noire associée à des feuillus intolérants / Tourbière à palse"
3541,"Épinette noire associée à des feuillus tolérants / Tourbière à palse"
3542,"Épinette noire associée à des feuillus indéterminés / Tourbière à palse"
3543,"Épinette noire associée à du mélèze laricin / Tourbière à palse"
3544,"Épinette noire associée à des pins / Tourbière à palse"
3545,"Épinette noire associée à du sapin baumier / Tourbière à palse"
3546,"Épinette noire associée à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3547,"Érable rouge / Tourbière à palse"
3548,"Érable rouge associé à des épinettes noire ou rouge / Tourbière à palse"
3549,"Érable rouge associé à du mélèze laricin / Tourbière à palse"
3550,"Érable rouge associé à des pins / Tourbière à palse"
3551,"Érable rouge associé à de la pruche du Canada / Tourbière à palse"
3552,"Érable rouge associé à des résineux / Tourbière à palse"
3553,"Érable rouge associé à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3554,"Érable rouge associé à du thuyas occidental / Tourbière à palse"
3555,"Épinettes noire ou rouge / Tourbière à palse"
3556,"Épinettes noire ou rouge associés à de l'épinette blanche / Tourbière à palse"
3557,"Épinettes noire ou rouge associés à des feuillus intolérants / Tourbière à palse"
3558,"Épinettes noire ou rouge associés à des feuillus tolérants / Tourbière à palse"
3559,"Épinettes noire ou rouge associés à des feuillus indéterminés / Tourbière à palse"
3560,"Épinettes noire ou rouge associés à du mélèze laricin / Tourbière à palse"
3561,"Épinettes noire ou rouge associés à des pins / Tourbière à palse"
3562,"Épinettes noire ou rouge associés à du sapin baumier / Tourbière à palse"
3563,"Épinettes noire ou rouge associés à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3564,"Épinettes noire ou rouge associés à du thuyas occidental / Tourbière à palse"
3565,"Érables / Tourbière à palse"
3566,"Érables associés à du bouleau jaune / Tourbière à palse"
3567,"Érables associés à des épinettes noire ou rouge / Tourbière à palse"
3568,"Érables associés à du mélèze laricin / Tourbière à palse"
3569,"Érables associés à des pins / Tourbière à palse"
3570,"Érables associés à de la pruche du Canada / Tourbière à palse"
3571,"Érables associés à des résineux / Tourbière à palse"
3572,"Érables associés à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3573,"Érables associés à du thuyas occidental / Tourbière à palse"
3574,"Érable à sucre / Tourbière à palse"
3575,"Érable à sucre associé à du bouleau jaune / Tourbière à palse"
3576,"Érable à sucre associé à des épinettes noire ou rouge / Tourbière à palse"
3577,"Érable à sucre associé à du mélèze laricin / Tourbière à palse"
3578,"Érable à sucre associé à des pins / Tourbière à palse"
3579,"Érable à sucre associé à de la pruche du Canada / Tourbière à palse"
3580,"Érable à sucre associé à des résineux / Tourbière à palse"
3581,"Érable à sucre associé à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3582,"Érable à sucre associé à du thuyas occidental / Tourbière à palse"
3583,"Épinette rouge / Tourbière à palse"
3584,"Épinette rouge associée à du bouleau jaune / Tourbière à palse"
3585,"Épinette rouge associée à des feuillus intolérants / Tourbière à palse"
3586,"Épinette rouge associée à des feuillus tolérants / Tourbière à palse"
3587,"Épinette rouge associée à des feuillus indéterminés / Tourbière à palse"
3588,"Épinette rouge associée à du mélèze laricin / Tourbière à palse"
3589,"Épinette rouge associée à des pins / Tourbière à palse"
3590,"Épinette rouge associée à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3591,"Frêne d'Amérique / Tourbière à palse"
3592,"Frêne d'Amérique associé à des pins / Tourbière à palse"
3593,"Frêne d'Amérique associé à des résineux tolérants / Tourbière à palse"
3594,"Frêne d'Amérique associé à des résineux / Tourbière à palse"
3595,"Feuillus intolérants / Tourbière à palse"
3596,"Feuillus intolérants associés à des épinettes noire ou rouge / Tourbière à palse"
3597,"Feuillus intolérants associés à du mélèze laricin / Tourbière à palse"
3598,"Feuillus intolérants associés à des pins / Tourbière à palse"
3599,"Feuillus intolérants associés à de la pruche du Canada / Tourbière à palse"
3600,"Feuillus intolérants associés à des résineux / Tourbière à palse"
3601,"Feuillus intolérants associés à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3602,"Feuillus intolérants associés à du thuyas occidental / Tourbière à palse"
3603,"Frêne noir / Tourbière à palse"
3604,"Frêne noir associé à des pins / Tourbière à palse"
3605,"Frêne noir associé à des résineux tolérants / Tourbière à palse"
3606,"Frêne noir associé à des résineux / Tourbière à palse"
3607,"Frêne de Pennsylvanie / Tourbière à palse"
3608,"Frêne de Pennsylvanie associé à des pins / Tourbière à palse"
3609,"Frêne de Pennsylvanie associé à des résineux tolérants / Tourbière à palse"
3610,"Frêne de Pennsylvanie associé à des résineux / Tourbière à palse"
3611,"Frênes / Tourbière à palse"
3612,"Frênes associés à des pins / Tourbière à palse"
3613,"Frênes associés à des résineux tolérants / Tourbière à palse"
3614,"Frênes associés à des résineux / Tourbière à palse"
3615,"Feuillus tolérants / Tourbière à palse"
3616,"Feuillus tolérants associés à des épinettes noire ou rouge / Tourbière à palse"
3617,"Feuillus tolérants associés à du mélèze laricin / Tourbière à palse"
3618,"Feuillus tolérants associés à des pins / Tourbière à palse"
3619,"Feuillus tolérants associés à de la pruche du Canada / Tourbière à palse"
3620,"Feuillus tolérants associés à des résineux / Tourbière à palse"
3621,"Feuillus tolérants associés à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3622,"Feuillus tolérants associés à du thuyas occidental / Tourbière à palse"
3623,"Feuillus indéterminés / Tourbière à palse"
3624,"Feuillus indéterminés associés à des épinettes noire ou rouge / Tourbière à palse"
3625,"Feuillus indéterminés associés à du mélèze laricin / Tourbière à palse"
3626,"Feuillus indéterminés associés à des pins / Tourbière à palse"
3627,"Feuillus indéterminés associés à de la pruche du Canada / Tourbière à palse"
3628,"Feuillus indéterminés associés à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3629,"Feuillus indéterminés associés à du thuyas occidental / Tourbière à palse"
3630,"Hêtre à grandes feuilles / Tourbière à palse"
3631,"Hêtre à grandes feuilles associé à des pins / Tourbière à palse"
3632,"Hêtre à grandes feuilles associé à des résineux tolérants / Tourbière à palse"
3633,"Hêtre à grandes feuilles associé à des résineux / Tourbière à palse"
3634,"Mélèze laricin / Tourbière à palse"
3635,"Mélèze laricin associé à des feuillus intolérants / Tourbière à palse"
3636,"Mélèze laricin associé à des feuillus tolérants / Tourbière à palse"
3637,"Mélèze laricin associé à des feuillus indéterminés / Tourbière à palse"
3638,"Forêt mixte / Tourbière à palse"
3639,"Noyer cendré / Tourbière à palse"
3640,"Noyer cendré associé à des pins / Tourbière à palse"
3641,"Noyer cendré associé à des résineux tolérants / Tourbière à palse"
3642,"Noyer cendré associé à des résineux / Tourbière à palse"
3643,"Ormes / Tourbière à palse"
3644,"Ormes associés à des pins / Tourbière à palse"
3645,"Ormes associés à des résineux tolérants / Tourbière à palse"
3646,"Ormes associés à des résineux / Tourbière à palse"
3647,"Ostryer de Virginie / Tourbière à palse"
3648,"Ostryer de Virginie associé à des pins / Tourbière à palse"
3649,"Ostryer de Virginie associé à des résineux tolérants / Tourbière à palse"
3650,"Ostryer de Virginie associé à des résineux / Tourbière à palse"
3651,"Pin blanc / Tourbière à palse"
3652,"Pin blanc associé à du bouleau jaune / Tourbière à palse"
3653,"Pin blanc associé à des érables / Tourbière à palse"
3654,"Pin blanc associé à des feuillus intolérants / Tourbière à palse"
3655,"Pin blanc associé à des feuillus tolérants / Tourbière à palse"
3656,"Pin blanc associé à des feuillus indéterminés / Tourbière à palse"
3657,"Pin rigide / Tourbière à palse"
3658,"Peupliers / Tourbière à palse"
3659,"Peupliers associés à des épinettes noire ou rouge / Tourbière à palse"
3660,"Peupliers associés à des pins / Tourbière à palse"
3661,"Peupliers associés à des résineux tolérants / Tourbière à palse"
3662,"Peupliers associés à des résineux / Tourbière à palse"
3663,"Peupliers associés à des sapin baumier et/ou épinette blanche / Tourbière à palse"
3664,"Pin gris / Tourbière à palse"
3665,"Pin gris associé à des feuillus intolérants / Tourbière à palse"
3666,"Pin gris associé à des feuillus tolérants / Tourbière à palse"
3667,"Pin gris associé à des feuillus indéterminés / Tourbière à palse"
3668,"Pins / Tourbière à palse"
3669,"Pins associés à des feuillus intolérants / Tourbière à palse"
3670,"Pins associés à des feuillus tolérants / Tourbière à palse"
3671,"Pins associés à des feuillus indéterminés / Tourbière à palse"
3672,"Pin rouge / Tourbière à palse"
3673,"Pin rouge associé à du bouleau jaune / Tourbière à palse"
3674,"Pin rouge associé à des chênes / Tourbière à palse"
3675,"Pin rouge associé à des érables / Tourbière à palse"
3676,"Pin rouge associé à des feuillus intolérants / Tourbière à palse"
3677,"Pin rouge associé à des feuillus tolérants / Tourbière à palse"
3678,"Pin rouge associé à des feuillus indéterminés / Tourbière à palse"
3679,"Pin rouge associé à du hêtre à grandes feuilles / Tourbière à palse"
3680,"Pin rouge associé à du noyer cendré / Tourbière à palse"
3681,"Pin rouge associé à des ormes / Tourbière à palse"
3682,"Pin rouge associé à de l'ostryer de Virginie / Tourbière à palse"
3683,"Pin rouge associé à du tilleul d'Amérique / Tourbière à palse"
3684,"Épinette noire et sapin baumier associés à des feuillus intolérants / Tourbière à palse"
3685,"Épinette noire et sapin baumier associés à des feuillus tolérants / Tourbière à palse"
3686,"Épinette noire et sapin baumier associés à des feuillus indéterminés / Tourbière à palse"
3687,"Pruche du Canada / Tourbière à palse"
3688,"Pruche du Canada associée à du bouleau jaune / Tourbière à palse"
3689,"Pruche du Canada associée à des érables / Tourbière à palse"
3690,"Pruche du Canada associée à des feuillus intolérants / Tourbière à palse"
3691,"Pruche du Canada associée à des feuillus tolérants / Tourbière à palse"
3692,"Pruche du Canada associée à des feuillus indéterminés / Tourbière à palse"
3693,"Résineux / Tourbière à palse"
3694,"Résineux associés à du bouleau jaune / Tourbière à palse"
3695,"Résineux associés à des érables / Tourbière à palse"
3696,"Résineux associés à des feuillus intolérants / Tourbière à palse"
3697,"Résineux associés à des feuillus tolérants / Tourbière à palse"
3698,"Résineux associés à des feuillus indéterminés / Tourbière à palse"
3699,"Sapin baumier / Tourbière à palse"
3700,"Sapin baumier associé à du bouleau jaune / Tourbière à palse"
3701,"Sapin baumier associé à des épinettes noire ou rouge / Tourbière à palse"
3702,"Sapin baumier associé à des érables / Tourbière à palse"
3703,"Sapin baumier associé à des feuillus intolérants / Tourbière à palse"
3704,"Sapin baumier associé à des feuillus tolérants / Tourbière à palse"
3705,"Sapin baumier associé à des feuillus indéterminés / Tourbière à palse"
3706,"Sapin baumier associé à du thuyas occidental / Tourbière à palse"
3707,"Sapin baumier et/ou épinette blanche / Tourbière à palse"
3708,"Sapin baumier et/ou épinette blanche associés à du bouleau jaune / Tourbière à palse"
3709,"Sapin baumier et/ou épinette blanche associés à de l'épinette noire / Tourbière à palse"
3710,"Sapin baumier et/ou épinette blanche associés à des épinettes noire ou rouge / Tourbière à palse"
3711,"Sapin baumier et/ou épinette blanche associés à des érables / Tourbière à palse"
3712,"Sapin baumier et/ou épinette blanche associés à des feuillus intolérants / Tourbière à palse"
3713,"Sapin baumier et/ou épinette blanche associés à des feuillus tolérants / Tourbière à palse"
3714,"Sapin baumier et/ou épinette blanche associés à des feuillus indéterminés / Tourbière à palse"
3715,"Sapin baumier et épinette noire associés à du bouleau jaune / Tourbière à palse"
3716,"Sapin baumier et épinette noire associés à des érables / Tourbière à palse"
3717,"Sapin baumier et épinette noire associés à des feuillus intolérants / Tourbière à palse"
3718,"Sapin baumier et épinette noire associés à des feuillus tolérants / Tourbière à palse"
3719,"Sapin baumier et épinette noire associés à des feuillus indéterminés / Tourbière à palse"
3720,"Tilleul d'Amérique / Tourbière à palse"
3721,"Tilleul d'Amérique associé à des pins / Tourbière à palse"
3722,"Tilleul d'Amérique associé à des résineux tolérants / Tourbière à palse"
3723,"Tilleul d'Amérique associé à des résineux / Tourbière à palse"
3724,"Thuyas occidental / Tourbière à palse"
3725,"Thuyas occidental associé à du bouleau jaune / Tourbière à palse"
3726,"Thuyas occidental associé à des érables / Tourbière à palse"
3727,"Thuyas occidental associé à des feuillus intolérants / Tourbière à palse"
3728,"Thuyas occidental associé à des feuillus tolérants / Tourbière à palse"
3729,"Thuyas occidental associé à des feuillus indéterminés / Tourbière à palse"
3730,"Peuplement issu d'une plantation de feuillus indigènes / Tourbière à palse"
3731,"Peuplement issu d'une plantation mélangée indigène / Tourbière à palse"
3732,"Peuplement issu d'une plantation de résineux indigènes / Tourbière à palse"
3733,"Peuplement issu d'une plantation de feuillus exotiques / Tourbière à palse"
3734,"Peuplement issu d'une plantation mélangée exotique / Tourbière à palse"
3735,"Peuplement issu d'une plantation de résineux exotiques / Tourbière à palse"
4000,"Marécage"
4020,"Eau / Marécage"
4021,"Lac / Marécage"
4022,"Mare et/ou eau peu profonde / Marécage"
4023,"Réservoir / Marécage"
4024,"Cours d'eau / Marécage"
4025,"Eau salée / Marécage"
4026,"Eau saumâtre / Marécage"
4027,"Lac de thermokartz / Marécage"
4029,"Neige et glace permanentes; combe à neige / Marécage"
4030,"Sol nu; roc-sol à nu; sol dénudé ou semi-dénudé sec / Marécage"
4031,"Champs de bloc / Marécage"
4050,"Forêt ou arbustaie improductive / Marécage"
4051,"Aulnaie / Marécage"
4052,"Arbustaie basse et mares de thermokarst / Marécage"
4053,"Arbustaie arctique basse (0.3 à 1 m) / Marécage"
4054,"Forêt arbustive haute (> 2 m) / Marécage"
4055,"Friche / Marécage"
4056,"Arbustaie arctique haute (> 1 m) / Marécage"
4057,"Forêt arbustive basse (< 2 m) Marécage"
4060,"Lande à lichens / Marécage"
4061,"Lande à lichens et arbustes / Marécage"
4062,"Lande subarctique / Marécage"
4063,"Lande subarctique avec 30 à 70 % d’arbustes / Marécage"
4064,"Lande rocheuse / Marécage"
4065,"Lande à éricacées / Marécage"
4066,"Lande herbacée / Marécage"
4067,"Lande à mousse / Marécage"
4068,"Lande alpine / Marécage"
4071,"Toundra à arbustes dressés / Marécage"
4072,"Toundra à arbustes dressés avec ostioles / Marécage"
4073,"Toundra à arbustes dressés avec 30 à 70 % d’arbustes / Marécage"
4074,"Toundra à arbustes dressés avec ostioles et 30 à 70 % d’arbustes / Marécage"
4075,"Toundra à arbustes prostrés / Marécage"
4076,"Toundra à arbustes prostrés avec ostioles / Marécage"
4077,"Toundra herbacée avec arbustes prostrés / Marécage"
4101,"Serre / Marécage"
4120,"Agriculture indifférenciée / Marécage"
4122,"Culture pérenne et pâturage / Marécage"
4131,"Jachère / Marécage"
4132,"Autre céréale / Marécage"
4133,"Orge / Marécage"
4134,"Sorgho / Marécage"
4135,"Millet / Marécage"
4136,"Avoine / Marécage"
4137,"Seigle / Marécage"
4138,"Épeautre / Marécage"
4139,"Triticale / Marécage"
4140,"Blé / Marécage"
4141,"Panic érigé / Marécage"
4147,"Maïs / Marécage"
4153,"Canola ou colza / Marécage"
4154,"Graine de lin / Marécage"
4157,"Tournesol / Marécage"
4158,"Soya / Marécage"
4160,"Autre légumineuse / Marécage"
4162,"Pois / Marécage"
4167,"Haricot / Marécage"
4168,"Laitue / Marécage"
4169,"Ail/Oignon/Poireau / Marécage"
4170,"Carotte/Panais / Marécage"
