fid,IdRte,Version,NomRte,NoRte,ClsRte,CaractRte,Cls_CheFor,Cls_RAT,An_Classi,No_Chefor,CarRte,Che_Multi,Gestion,Source,Notes,NbrVoies,EtatRev,Dossi_Pont,Cap_Port,Stat_Pont,AQRP_UUID,Enregistre,Latitude,Longitude,Type,Milieu,longueur
1111,02c75afa2ac9498c9c4b5880bbf6f3a6,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,f5ae3e46-3e52-4707-ac09-ae6bd4b968d5,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,18.5012466443738
1112,2e1d78bc701c444aa4a1a7fd9af2b98c,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,95e7e7c4-5800-4fb1-9ae1-0ff943b57275,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,349.818445505631
1113,b94bb8f68622428895d2f45672b629ab,AQ20221201,Route 133,133,Nationale,,NF,,,,OUI,NON,Transports Québec,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,Revêtue,,,,fd0a3051-81f4-4546-96f6-e6e855bbfb73,M-lisiere,45.021740000000001,-73.081779999999995,lisiere,mixte,6.10479314441491
25,4c3c9d4aa1d145328c912a8698ceff5d,AQ20221201,Chemin du Bois,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,b2695cd2-a310-42d8-951a-78ebfcb7caa7,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,42.1709858274045
29,b9ecc9770e984089857174ad46e72e03,AQ20221201,Chemin Molleur,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,44301db6-123c-4f6e-af1f-c42dad4c5dbc,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,191.958176697327
482,4abe2092e1ab474ba4e0105e76e29a86,AQ20221201,Rang des Côtes,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,57eab08e-9b9c-4618-92e2-02d29941dd99,,,,,,0
515,d0db5c21fc3aa473e05358f2298e57e0,AQ20221201,Rang du Marécage,,Collectrice municipale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,8d234310-659d-48be-b4e0-8d476a4c2e4b,,,,,,0
952,4ef082c0146245eda1114e4c18fa57dd,AQ20221201,Boulevard de la Falaise,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.","2",Revêtue,,,,5f11af85-babb-4163-91c7-c012108b06bc,,,,,,1.12000979497734e-09
25,4c3c9d4aa1d145328c912a8698ceff5d,AQ20221201,Chemin du Bois,,Locale,,NF,,,,OUI,NON,Municipal,AQ,"Avertissement : Le diffuseur ne peut garantir l’exactitude, la précision ou l’intégralité des données ni ne peut être tenu responsable des conclusions qui découlent de leur utilisation. Ces données n’ont aucune valeur légale.",INC,INC,,,,b2695cd2-a310-42d8-951a-78ebfcb7caa7,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,C-foret,45.059890000000003,-73.288010000000000,foret,foret,1885.11826500357
,,,,,,,,,,,,,,,,,,,,,,C-lisiere,45.062519999999999,-73.287289999999999,lisiere,foret,1885.11822164829
,,,,,,,,,,,,,,,,,,,,,,E-foret,45.076079999999997,-73.228089999999995,foret,mixte,1885.11410323443
,,,,,,,,,,,,,,,,,,,,,,E-lisiere,45.078769999999999,-73.227549999999994,lisiere,mixte,1885.11406200941
,,,,,,,,,,,,,,,,,,,,,,F-foret,45.086610000000000,-73.228030000000004,foret,mixte,1885.11410248074
,,,,,,,,,,,,,,,,,,,,,,F-lisiere,45.085120000000003,-73.224699999999999,lisiere,mixte,1885.11384019553
,,,,,,,,,,,,,,,,,,,,,,Francine-3,45.083750000000002,-73.105000000000004,lisiere,mixte,1885.10231637088
