V1,V2,V3,V4
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
NA,NA,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
21,1,21,1
