Site,V1,V2,V3,V4,V5,V6,V7,V8
C-foret,144,151,158,165,172,179,186,193
C-lisiere,144,151,158,165,172,179,186,193
E-foret,144,151,158,165,172,179,186,193
E-lisiere,144,151,158,165,172,179,186,193
F-foret,144,151,158,165,172,179,186,193
F-lisiere,144,151,158,165,172,179,186,193
Francine-3,NA,151,158,165,172,179,186,193
G-foret,144,151,158,165,172,179,186,193
G-lisiere,144,151,158,165,172,179,186,193
H-lisiere,144,151,158,165,172,179,186,192
J-foret,145,151,158,165,172,179,186,192
J-lisiere,145,151,158,160,172,179,186,192
K-foret,145,150,158,165,172,179,186,192
K-lisiere,145,151,158,165,172,179,186,192
L-foret,145,151,158,165,172,180,186,192
L-lisiere,145,151,158,165,172,179,186,192
M-foret,147,151,158,165,172,179,186,192
M-lisiere,147,151,158,165,172,179,186,192
N-foret,147,151,158,165,172,179,186,192
N-lisiere,147,151,158,165,172,179,186,192
P-lisiere,144,151,158,165,172,179,186,193
Q-lisiere,144,151,158,165,172,179,186,193
W-lisiere,NA,151,158,165,172,179,186,192
X-foret,NA,154,158,165,172,179,186,192
Y-lisiere,NA,153,158,165,172,179,186,192
Z-lisiere,NA,153,158,165,172,179,186,192
